ns,eprodr,rhoR_fuel(gcm^2),rhoR_total(gcm^2),tion_bw(keV)
7.5034,2.1423e-02,2.3741e-02,8.9820e-02,2.7341e+00
7.5133,2.2176e-02,2.4689e-02,9.1733e-02,2.6809e+00
7.5232,2.2899e-02,2.5708e-02,9.3763e-02,2.6275e+00
7.5307,2.3440e-02,2.6515e-02,9.5356e-02,2.5888e+00
7.5418,2.4278e-02,2.7789e-02,9.7837e-02,2.5314e+00
7.5523,2.5256e-02,2.9095e-02,1.0034e-01,2.4772e+00
7.5621,2.6523e-02,3.0390e-02,1.0280e-01,2.4274e+00
7.5719,2.8499e-02,3.1792e-02,1.0542e-01,2.3762e+00
7.5823,3.2004e-02,3.3380e-02,1.0835e-01,2.3220e+00
7.5931,3.8304e-02,3.5173e-02,1.1160e-01,2.2714e+00
7.6036,4.7733e-02,3.7061e-02,1.1498e-01,2.2421e+00
7.6104,5.5817e-02,3.8381e-02,1.1731e-01,2.2401e+00
7.6206,7.1089e-02,4.0479e-02,1.2097e-01,2.2666e+00
7.6333,9.8151e-02,4.3368e-02,1.2592e-01,2.3494e+00
7.6426,1.2660e-01,4.5694e-02,1.2983e-01,2.4429e+00
7.6515,1.6411e-01,4.8115e-02,1.3385e-01,2.5560e+00
7.6604,2.1670e-01,5.0757e-02,1.3817e-01,2.6918e+00
7.6734,3.3479e-01,5.5025e-02,1.4501e-01,2.9306e+00
7.6830,4.7909e-01,5.8569e-02,1.5057e-01,3.1470e+00
7.6920,6.9301e-01,6.2260e-02,1.5627e-01,3.3954e+00
7.7022,1.1096e+00,6.6909e-02,1.6330e-01,3.7594e+00
7.7111,1.7634e+00,7.1523e-02,1.7013e-01,4.2057e+00
7.7205,3.1462e+00,7.7152e-02,1.7823e-01,4.9178e+00
7.7301,7.2600e+00,8.5737e-02,1.8960e-01,6.5636e+00
7.7407,1.4014e+01,9.2930e-02,1.9991e-01,6.9995e+00
7.7509,2.2426e+01,1.0101e-01,2.1120e-01,6.8470e+00
7.7714,4.4683e+01,1.2062e-01,2.3745e-01,6.1381e+00
7.7805,5.7005e+01,1.3101e-01,2.5130e-01,5.7444e+00
7.7918,7.6479e+01,1.4583e-01,2.7079e-01,5.3254e+00
7.8004,9.6400e+01,1.5854e-01,2.8730e-01,5.0834e+00
7.8115,1.3260e+02,1.7735e-01,3.1143e-01,4.8934e+00
7.8212,1.7724e+02,1.9612e-01,3.3520e-01,4.8712e+00
7.8313,2.4867e+02,2.1854e-01,3.6328e-01,4.9666e+00
7.8408,3.5748e+02,2.4302e-01,3.9358e-01,5.1298e+00
7.8508,5.4182e+02,2.7299e-01,4.3028e-01,5.3417e+00
7.8610,8.3527e+02,3.0728e-01,4.7204e-01,5.5267e+00
7.8709,1.2555e+03,3.4318e-01,5.1582e-01,5.5904e+00
7.8810,1.8625e+03,3.8189e-01,5.6331e-01,5.5356e+00
7.8906,2.6497e+03,4.1997e-01,6.1051e-01,5.4512e+00
7.9011,3.8232e+03,4.6215e-01,6.6370e-01,5.4148e+00
7.9106,5.3828e+03,4.9940e-01,7.1184e-01,5.4318e+00
7.9209,7.8268e+03,5.3720e-01,7.6269e-01,5.5525e+00
7.9309,1.1591e+04,5.6806e-01,8.0751e-01,5.7358e+00
7.9411,1.7916e+04,5.9059e-01,8.4572e-01,5.9864e+00
7.9506,2.8242e+04,6.0073e-01,8.7162e-01,6.2926e+00
7.9610,5.0025e+04,5.9859e-01,8.8588e-01,6.7906e+00
7.9708,9.2733e+04,5.8476e-01,8.8472e-01,7.5350e+00
7.9807,1.8243e+05,5.6013e-01,8.6861e-01,8.5143e+00
7.9906,3.8006e+05,5.2457e-01,8.3392e-01,9.3354e+00
8.0004,8.3265e+05,4.7753e-01,7.7379e-01,1.0606e+01
8.0103,1.2536e+06,4.2252e-01,6.9118e-01,1.3426e+01
8.0207,1.2018e+06,3.6506e-01,5.9741e-01,1.5784e+01
8.0303,8.6187e+05,3.1830e-01,5.1914e-01,1.6052e+01
8.0403,4.9927e+05,2.6698e-01,4.3978e-01,1.4724e+01
8.0504,2.5331e+05,2.1163e-01,3.6146e-01,1.2536e+01
8.0605,1.1904e+05,1.6519e-01,2.9695e-01,1.0318e+01
8.0703,5.4841e+04,1.3161e-01,2.4960e-01,8.4989e+00
8.0805,2.4339e+04,1.0580e-01,2.1236e-01,7.0055e+00
8.0907,1.1022e+04,8.6633e-02,1.8400e-01,5.8649e+00
8.1015,4.8973e+03,7.1263e-02,1.6064e-01,4.9379e+00
8.1106,2.5476e+03,6.1260e-02,1.4503e-01,4.3292e+00
8.1204,1.2944e+03,5.2617e-02,1.3119e-01,3.7973e+00
