time(ns),eprodr,rhoR_fue1(gcm^2),rhoR_total(gcm^2),tion_bw(keV)
7.73,1.84E+00,8.23E-02,1.87E-01,5.24E+00
7.74,2.80E+00,8.94E-02,1.97E-01,5.29E+00
7.75,3.97E+00,9.64E-02,2.07E-01,5.29E+00
7.76,5.80E+00,1.05E-01,2.20E-01,5.25E+00
7.77,8.23E+00,1.15E-01,2.33E-01,5.19E+00
7.78,1.15E+01,1.27E-01,2.48E-01,5.14E+00
7.79,1.63E+01,1.40E-01,2.66E-01,5.12E+00
7.80,2.38E+01,1.57E-01,2.87E-01,5.11E+00
7.81,3.34E+01,1.74E-01,3.09E-01,5.12E+00
7.82,4.72E+01,1.93E-01,3.33E-01,5.13E+00
7.83,7.37E+01,2.20E-01,3.66E-01,5.19E+00
7.84,1.08E+02,2.45E-01,3.97E-01,5.28E+00
7.85,1.67E+02,2.77E-01,4.36E-01,5.43E+00
7.86,2.53E+02,3.12E-01,4.78E-01,5.60E+00
7.87,4.02E+02,3.58E-01,5.33E-01,5.70E+00
7.88,6.00E+02,4.04E-01,5.88E-01,5.65E+00
7.89,8.79E+02,4.58E-01,6.51E-01,5.55E+00
7.90,1.28E+03,5.18E-01,7.23E-01,5.46E+00
7.91,1.78E+03,5.74E-01,7.90E-01,5.43E+00
7.92,2.63E+03,6.39E-01,8.69E-01,5.50E+00
7.93,3.78E+03,6.98E-01,9.42E-01,5.65E+00
7.94,5.52E+03,7.54E-01,1.01E+00,5.82E+00
7.95,7.75E+03,7.96E-01,1.08E+00,5.97E+00
7.96,1.03E+04,8.14E-01,1.11E+00,6.08E+00
7.97,1.39E+04,8.14E-01,1.13E+00,6.20E+00
7.98,1.76E+04,7.97E-01,1.13E+00,6.40E+00
7.99,2.09E+04,7.63E-01,1.11E+00,6.65E+00
8.00,2.23E+04,7.15E-01,1.07E+00,6.72E+00
8.01,2.05E+04,6.53E-01,1.01E+00,6.57E+00
8.02,1.64E+04,5.88E-01,9.41E-01,6.18E+00
8.03,1.14E+04,5.25E-01,8.69E-01,5.64E+00
8.04,7.29E+03,4.70E-01,8.00E-01,5.08E+00
8.05,4.37E+03,4.21E-01,7.34E-01,4.54E+00
8.06,2.58E+03,3.80E-01,6.76E-01,4.10E+00
8.07,1.49E+03,3.45E-01,6.24E-01,3.72E+00
8.08,8.66E+02,3.17E-01,5.81E-01,3.41E+00
8.09,4.98E+02,2.90E-01,5.40E-01,3.12E+00
8.10,2.81E+02,2.68E-01,5.04E-01,2.86E+00
8.11,1.60E+02,2.48E-01,4.72E-01,2.63E+00
8.12,9.25E+01,2.30E-01,4.44E-01,2.42E+00
8.13,5.51E+01,2.15E-01,4.19E-01,2.24E+00
8.14,3.08E+01,1.99E-01,3.93E-01,2.05E+00
